 |  | main |  | 2023-10-08 16:21:50,608 | INFO  | com.alibaba.csp.pts.demo.DemoApplication | Starting DemoApplication on L-40GTLVDL-1304.local with PID 27609 (/Users/luwei/workspace/pts/test/springboot2-log4j2/target/classes started by luwei in /Users/luwei/workspace/pts/test/springboot2-log4j2) 
 |  | main |  | 2023-10-08 16:21:50,641 | INFO  | com.alibaba.csp.pts.demo.DemoApplication | No active profile set, falling back to default profiles: default 
 |  | main |  | 2023-10-08 16:21:50,708 | INFO  | org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext | Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@58c1da09: startup date [Sun Oct 08 16:21:50 CST 2023]; root of context hierarchy 
 |  | main |  | 2023-10-08 16:21:52,743 | INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat initialized with port(s): 8099 (http) 
 |  | localhost-startStop-1 |  | 2023-10-08 16:21:53,100 | INFO  | org.springframework.web.context.ContextLoader | Root WebApplicationContext: initialization completed in 2393 ms 
 |  | localhost-startStop-1 |  | 2023-10-08 16:21:53,256 | INFO  | org.springframework.boot.web.servlet.ServletRegistrationBean | Servlet dispatcherServlet mapped to [/] 
 |  | localhost-startStop-1 |  | 2023-10-08 16:21:53,264 | INFO  | org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'characterEncodingFilter' to: [/*] 
 |  | localhost-startStop-1 |  | 2023-10-08 16:21:53,264 | INFO  | org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
 |  | localhost-startStop-1 |  | 2023-10-08 16:21:53,264 | INFO  | org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'httpPutFormContentFilter' to: [/*] 
 |  | localhost-startStop-1 |  | 2023-10-08 16:21:53,265 | INFO  | org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'requestContextFilter' to: [/*] 
 |  | main |  | 2023-10-08 16:21:53,546 | INFO  | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
