 |  | http-nio-8099-exec-4 |  | 2023-07-19 21:33:05,286 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 7278172294 
 |  | http-nio-8099-exec-4 |  | 2023-07-19 21:33:05,312 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 7278172294 
 |  | http-nio-8099-exec-5 |  | 2023-07-19 21:33:57,380 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 2140677559 
 |  | http-nio-8099-exec-5 |  | 2023-07-19 21:33:57,380 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 2140677559 
 |  | http-nio-8099-exec-6 |  | 2023-07-19 21:33:59,384 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 9881200044 
 |  | http-nio-8099-exec-6 |  | 2023-07-19 21:33:59,385 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 9881200044 
 |  | http-nio-8099-exec-7 |  | 2023-07-19 21:34:00,549 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 5497997452 
 |  | http-nio-8099-exec-7 |  | 2023-07-19 21:34:00,550 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 5497997452 
 |  | http-nio-8099-exec-8 |  | 2023-07-19 21:34:42,037 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 2152947526 
 |  | http-nio-8099-exec-8 |  | 2023-07-19 21:34:42,037 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 2152947526 
 |  | http-nio-8099-exec-9 |  | 2023-07-19 21:34:42,989 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 1106551258 
 |  | http-nio-8099-exec-9 |  | 2023-07-19 21:34:42,990 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 1106551258 
 |  | http-nio-8099-exec-10 |  | 2023-07-19 21:34:44,412 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 5980226423 
 |  | http-nio-8099-exec-10 |  | 2023-07-19 21:34:44,413 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 5980226423 
 |  | http-nio-8099-exec-1 |  | 2023-07-19 21:35:06,068 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 4846576806 
 |  | http-nio-8099-exec-1 |  | 2023-07-19 21:35:06,068 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 4846576806 
 |  | http-nio-8099-exec-2 |  | 2023-07-19 21:35:06,748 | WARN  | com.alibaba.csp.pts.demo.TestLogController | testEcho needed to warn - 1309657764 
 |  | http-nio-8099-exec-2 |  | 2023-07-19 21:35:06,749 | ERROR | com.alibaba.csp.pts.demo.TestLogController | testEcho encountered an error with value - 1309657764 
